Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-13,25201.2,25201.2,25201.2,25201.2,273253206,0,0
2018-06-14,25175.3,25175.3,25175.3,25175.3,284625051,0,0
2018-06-15,25090.5,25090.5,25090.5,25090.5,428399016,0,0
2018-06-18,24987.5,24987.5,24987.5,24987.5,275880960,0,0
2018-06-19,24700.2,24700.2,24700.2,24700.2,310727970,0,0
2018-06-20,24657.8,24657.8,24657.8,24657.8,312731529,0,0
2018-06-21,24461.7,24461.7,24461.7,24461.7,306150500,0,0
2018-06-22,24580.9,24580.9,24580.9,24580.9,284499897,0,0
2018-06-25,24252.8,24252.8,24252.8,24252.8,369929236,0,0
2018-06-26,24283.1,24283.1,24283.1,24283.1,253440808,0,0
2018-06-27,24117.6,24117.6,24117.6,24117.6,270503172,0,0
2018-06-28,24216.0,24216.0,24216.0,24216.0,270982601,0,0
2018-06-29,24271.4,24271.4,24271.4,24271.4,260247308,0,0
2018-07-02,24307.2,24307.2,24307.2,24307.2,211720172,0,0
2018-07-03,24174.8,24174.8,24174.8,24174.8,160955003,0,0
2018-07-05,24356.7,24356.7,24356.7,24356.7,201901567,0,0
2018-07-06,24456.5,24456.5,24456.5,24456.5,185637935,0,0
2018-07-09,24776.6,24776.6,24776.6,24776.6,202737561,0,0
2018-07-10,24919.7,24919.7,24919.7,24919.7,199272852,0,0
2018-07-11,24700.4,24700.4,24700.4,24700.4,207807236,0,0
2018-07-12,24924.9,24924.9,24924.9,24924.9,195989760,0,0
2018-07-13,25019.4,25019.4,25019.4,25019.4,219740899,0,0
2018-07-16,25064.4,25064.4,25064.4,25064.4,194193915,0,0
2018-07-17,25119.9,25119.9,25119.9,25119.9,214575738,0,0
2018-07-18,25199.3,25199.3,25199.3,25199.3,209860447,0,0
2018-07-19,25064.5,25064.5,25064.5,25064.5,237909233,0,0
2018-07-20,25058.1,25058.1,25058.1,25058.1,228568764,0,0
2018-07-23,25044.3,25044.3,25044.3,25044.3,192756088,0,0
2018-07-24,25241.9,25241.9,25241.9,25241.9,239402351,0,0
2018-07-25,25414.1,25414.1,25414.1,25414.1,238433780,0,0
2018-07-26,25527.1,25527.1,25527.1,25527.1,237812678,0,0
2018-07-27,25451.1,25451.1,25451.1,25451.1,298782500,0,0
2018-07-30,25306.8,25306.8,25306.8,25306.8,264161792,0,0
2018-07-31,25415.2,25415.2,25415.2,25415.2,279603253,0,0
2018-08-01,25333.8,25333.8,25333.8,25333.8,283036200,0,0
2018-08-02,25326.2,25326.2,25326.2,25326.2,274336245,0,0
2018-08-03,25462.6,25462.6,25462.6,25462.6,199405001,0,0
2018-08-06,25502.2,25502.2,25502.2,25502.2,197227919,0,0
2018-08-07,25628.9,25628.9,25628.9,25628.9,200865519,0,0
2018-08-08,25583.8,25583.8,25583.8,25583.8,185013531,0,0
2018-08-09,25509.2,25509.2,25509.2,25509.2,186828589,0,0
2018-08-10,25313.1,25313.1,25313.1,25313.1,197109811,0,0
2018-08-13,25187.7,25187.7,25187.7,25187.7,187025374,0,0
2018-08-14,25299.9,25299.9,25299.9,25299.9,190140430,0,0
2018-08-15,25162.4,25162.4,25162.4,25162.4,259043802,0,0
2018-08-16,25558.7,25558.7,25558.7,25558.7,302726450,0,0
2018-08-17,25669.3,25669.3,25669.3,25669.3,244961195,0,0
2018-08-20,25758.7,25758.7,25758.7,25758.7,213168719,0,0
2018-08-21,25822.3,25822.3,25822.3,25822.3,202804144,0,0
2018-08-22,25733.6,25733.6,25733.6,25733.6,171099470,0,0
2018-08-23,25657.0,25657.0,25657.0,25657.0,180616649,0,0
2018-08-24,25790.4,25790.4,25790.4,25790.4,163616677,0,0
2018-08-27,26049.6,26049.6,26049.6,26049.6,189176621,0,0
2018-08-28,26064.0,26064.0,26064.0,26064.0,179939225,0,0
2018-08-29,26124.6,26124.6,26124.6,26124.6,183475477,0,0
2018-08-30,25986.9,25986.9,25986.9,25986.9,215062062,0,0
2018-08-31,25964.8,25964.8,25964.8,25964.8,200155604,0,0
2018-09-04,25952.5,25952.5,25952.5,25952.5,216192742,0,0
2018-09-05,25975.0,25975.0,25975.0,25975.0,236175907,0,0
2018-09-06,25995.9,25995.9,25995.9,25995.9,220391617,0,0
2018-09-07,25916.5,25916.5,25916.5,25916.5,230770058,0,0
2018-09-10,25991.9,26040.0,25854.1,25857.1,205994588,0,0
2018-09-11,25841.1,26019.9,25754.3,25971.1,223559422,0,0
2018-09-12,25989.1,26145.7,25929.4,25998.9,246692221,0,0
2018-09-13,26083.9,26191.6,26067.1,26146.0,219259376,0,0
2018-09-14,26169.6,26211.1,26068.3,26154.7,194422367,0,0
2018-09-17,26151.7,26184.5,26030.3,26062.1,188748269,0,0
2018-09-18,26076.2,26317.3,26076.2,26247.0,204609318,0,0
2018-09-19,26287.8,26464.4,26280.8,26405.8,211253109,0,0
2018-09-20,26519.4,26697.5,26519.4,26657.0,217321075,0,0
2018-09-21,26726.2,26769.2,26680.4,26743.5,354299247,0,0
2018-09-24,26705.2,26709.9,26548.7,26562.0,205165365,0,0
2018-09-25,26601.6,26634.8,26475.6,26492.2,190846519,0,0
2018-09-26,26536.9,26606.1,26349.3,26385.3,213727451,0,0
2018-09-27,26418.3,26557.0,26379.9,26439.9,183260040,0,0
2018-09-28,26407.7,26515.8,26383.6,26458.3,204321757,0,0
2018-10-01,26598.4,26738.0,26596.1,26651.2,195337224,0,0
2018-10-02,26648.9,26824.8,26627.7,26773.9,210512761,0,0
2018-10-03,26833.5,26951.8,26789.1,26828.4,234152711,0,0
2018-10-04,26784.1,26793.8,26471.6,26627.5,254319300,0,0
2018-10-05,26632.8,26676.2,26301.8,26447.1,232024487,0,0
2018-10-08,26399.4,26529.3,26223.1,26486.8,226715763,0,0
2018-10-09,26469.2,26539.9,26324.2,26430.6,242445502,0,0
2018-10-10,26441.7,26441.7,25593.7,25598.7,378562745,0,0
2018-10-11,25518.4,25683.6,24899.8,25052.8,472734109,0,0
2018-10-12,25407.6,25467.6,25000.8,25340.0,343649428,0,0
2018-10-15,25332.5,25482.4,25246.8,25250.6,235328874,0,0
2018-10-16,25351.5,25817.7,25351.5,25798.4,263496067,0,0
2018-10-17,25705.9,25810.1,25479.2,25706.7,250883585,0,0
2018-10-18,25645.6,25691.5,25236.0,25379.5,284883275,0,0
2018-10-19,25421.1,25608.7,25350.0,25444.3,306334644,0,0
2018-10-22,25492.1,25561.3,25236.1,25317.4,271493026,0,0
2018-10-23,25038.5,25307.7,24768.8,25191.4,403655867,0,0
