Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-13,0.08,0.08,0.08,0.08,0,0,0
2018-06-14,0.08,0.08,0.08,0.08,0,0,0
2018-06-15,0.08,0.08,0.08,0.08,0,0,0
2018-06-18,0.08,0.08,0.08,0.08,0,0,0
2018-06-19,0.08,0.08,0.08,0.08,0,0,0
2018-06-20,0.08,0.08,0.08,0.08,0,0,0
2018-06-21,0.08,0.08,0.08,0.08,0,0,0
2018-06-22,0.08,0.08,0.08,0.08,0,0,0
2018-06-25,0.08,0.08,0.08,0.08,0,0,0
2018-06-26,0.08,0.08,0.08,0.08,0,0,0
2018-06-27,0.08,0.08,0.08,0.08,0,0,0
2018-06-28,0.08,0.08,0.08,0.08,0,0,0
2018-06-29,0.08,0.08,0.08,0.08,0,0,0
2018-07-02,0.08,0.08,0.08,0.08,0,0,0
2018-07-03,0.08,0.08,0.08,0.08,0,0,0
2018-07-05,0.08,0.08,0.08,0.08,0,0,0
2018-07-06,0.08,0.08,0.08,0.08,0,0,0
2018-07-09,0.08,0.08,0.08,0.08,0,0,0
2018-07-10,0.08,0.08,0.08,0.08,0,0,0
2018-07-11,0.08,0.08,0.08,0.08,0,0,0
2018-07-12,0.08,0.08,0.08,0.08,0,0,0
2018-07-13,0.08,0.08,0.08,0.08,0,0,0
2018-07-16,0.08,0.08,0.08,0.08,0,0,0
2018-07-17,0.08,0.08,0.08,0.08,0,0,0
2018-07-18,0.08,0.08,0.08,0.08,0,0,0
2018-07-19,0.08,0.08,0.08,0.08,0,0,0
2018-07-20,0.08,0.08,0.08,0.08,0,0,0
2018-07-23,0.08,0.08,0.08,0.08,0,0,0
2018-07-24,0.08,0.08,0.08,0.08,0,0,0
2018-07-25,0.08,0.08,0.08,0.08,0,0,0
2018-07-26,0.08,0.08,0.08,0.08,0,0,0
2018-07-27,0.08,0.08,0.08,0.08,0,0,0
2018-07-30,0.08,0.08,0.08,0.08,0,0,0
2018-07-31,0.08,0.08,0.08,0.08,0,0,0
2018-08-01,0.08,0.08,0.08,0.08,0,0,0
2018-08-02,0.08,0.08,0.08,0.08,0,0,0
2018-08-03,0.08,0.08,0.08,0.08,0,0,0
2018-08-06,0.08,0.08,0.08,0.08,0,0,0
2018-08-07,0.08,0.08,0.08,0.08,0,0,0
2018-08-08,0.08,0.08,0.08,0.08,0,0,0
2018-08-09,0.08,0.08,0.08,0.08,0,0,0
2018-08-10,0.08,0.08,0.08,0.08,0,0,0
